competidor,nombre_comp,desc_comp,precio_comp,precio_compF
Zara,TOP MEZCLA POLIAMIDA,Top confeccionado en hilatura con mezcla de poliamida. Cuello redondo y tirantes finos ajustables. 60% poliamida / 40% elastano y FORRO: 100% poliéster,549,549
Zara,TOP SATINADO HALTER,"Top confeccionado en tejido satinado. Cuello halter y escote pico cruzado. Espalda descubierta. Bajo con acabado asimétrico. Cierre lateral con botón. 97% poliéster
3% elastano",549,549
Zara,VESTIDO HALTER FLUIDO,Vestido midi con tejido principal confeccionado en hilatura de lyocell 100%. Cuello halter. Espalda descubierta. Cierre en cuello con botones ocultos. 100% liocel,849,849
Zara,MONO LARGO CINTURÓN,Mono de cuello fluido con botones y manga sisa. Detalle de cinturón ancho. Bolsillos delanteros. Pernera ancha. Cierre lateral con zipper oculto en costura. 100% poliéster,1099,1099
Zara,VESTIDO MIDI COMBINADO FORNITURA,"Vestido midi de cuello redondo y manga sisa con frunces en el hombro. Tejido combinado y delantero cruzado con fornitura dorada. Cierre lateral con zipper oculto en costura. 71% poliéster, 4% elastano, 25% viscosa, TEJIDO SECUNDARIO: 97% algodón y 3% elastano",1099,1099
Zara,JUMPSUIT LARGO HALTER BOMBACHO,"Jumpsuit largo de cuello halter cruzado con botones en cuello y hombros descubiertos. Bajo abullonado ajustable con lazada. Cierre lateral con zipper oculto en costura. 75% viscosa
25% poliamida",999,999
Zara,VESTIDO CORTO CUELLO PERKINS,"Vestido corto confeccionado con hilatura en mezcla de lyocell. Cuello perkins y hombro pasado. Bajo recto. 67% liocel, 32% algodón y 1% elastano",549,549
H&M,Gabardina de doble botonadura,Gabardina clásica en tejido de sarga con cinturón removible.,799,799
H&M,Chaqueta acolchada con capucha,Chaqueta con relleno de poliéster reciclado y acabado cortavientos.,899,899
H&M,Playera de punto de viscosa,Playera básica de manga larga en tejido suave de viscosa.,299,299
H&M,Pantalón de chándal en mezcla de algodón,Pantalón deportivo con interior cepillado y cintura elástica.,349,349
H&M,Gabardina corta repelente al agua,Modelo corto en tejido técnico con solapas anchas.,699,699
H&M,Cazadora biker en piel sintética,Chaqueta de poliuretano con cremalleras metálicas.,999,999
H&M,Playera de cuello alto ajustada,Playera entallada en punto de canalé con cuello cisne.,249,249
H&M,Conjunto de sudadera y pants relax,Set de dos piezas coordinado para descanso.,649,649
H&M,Chaqueta guateada ligera,Chaqueta delgada con costuras decorativas y material sintético.,599,599
H&M,Top de manga larga con stretch,Top elástico de manga larga en mezcla de rayón.,329,329
Liverpool,Gabardina LIEB clásica para mujer,"Gabardina de corte largo, bolsillos laterales y ajuste de botones.",1599,1599
Liverpool,Chamarra capitonada de poliéster,Chamarra térmica con bolsillos y cierre frontal.,1299,1299
Liverpool,Playera GAP manga larga,Playera clásica de marca con logo pequeño y manga larga.,499,499
Liverpool,Pants Aeropostale corte jogger,Pantalón cómodo con ajuste en tobillos.,699,699
Liverpool,Pants regular Granata con jareta para mujer,"Fit Regular, Familia o colección Granata, Diseño Con bolsillos, Corte ropa Regular, Género Mujer, Ocasión Casual, Material Poliester",999,999
Liverpool,Chamarra Levi\s sintética con borrego,Chamarra de marca con forro sintético tipo piel de oveja.,2499,2499
Liverpool,Playera de algodón con cuello redondo,Básico esencial de manga larga 100% algodón.,399,399
Liverpool,Conjunto deportivo ADIDAS 2 piezas,Chaqueta y pantalón coordinados para entrenamiento.,1899,1899
Liverpool,Chamarra Guess de piel ecológica,Cazadora de alta gama en material sintético texturizado.,2299,2299
Liverpool,Pants casual de terciopelo,Pantalón de textura suave con bolsillos.,599,599
Bershka,Vestido mini cuello halter,Composición EXTERIOR 68% viscosa 28% poliamida 4% elastano FORRO 92% poliéster 8% elastano,549,549
Bershka,Pantalón pliegues doble botón,"Composición: EXTERIOR: 74% poliéster, 19% viscosa,7% elastano EXTERIOR: % ELASTANO,74% POLIÉSTER ",1099,1099
Bershka,Vestido mini lunares,"Composición: EXTERIOR,85% viscosa,15% poliamida,FORRO: 100% poliéster",699,699
Bershka,Vestido falda vuelo,"Composición: EXTERIOR: 77% poliéster,20% poliamida,3% elastano. FORRO: 100% poliéster",849,849
Bershka,Vestido midi bandeau punto,"Composición:EXTERIOr: 63% viscosa,32% poliamida,5% elastano FORRO:95% poliéster y 5% elastano",549,549
Bershka,Vestido mini bandeau tul,"Composición:EXTERIOR: 98% poliéster,2% elastano FORRO:91% poliéster,9% elastano",599,599
Bershka,Vestido mini tachas,"Composición:EXTERIOR 64% viscosa,31% poliamida,5% elastano ",599,599
Bershka,Chaleco halter cuello mao,"Composición:EXTERIOR:35% viscosa,30% liocel,24% poliamida,6% lino,3% elastano,2% algodónFORRO:35% viscosa,30% liocel,24% poliamida,6% lino,3% elastano,2% algodón",599,599
Bershka,Top bandeau denim,Composición:EXTERIOR: 100% algodón,699,699
Bershka,Top manga larga fruncido,"Composición; EXTERIOR:95% poliéster,5% elastanoFORRO: 100% poliéster",549,549
Bershka,Top asimétrico,"Composición.EXTERIOR:66% poliéster,28% viscosa,6% elastano.FORRO:100% poliéster",499,499
Bershka,Top tirantes con pañuelo,Composición: 100% poliéster,499,499
Bershka,Jeans wide leg tiro alto rotos,Composición: 100% algodon,849,849
Bershka,Jeans wide leg,Composición: 100% algodon,799,799
Bershka,Jeanst skinny soft tiro super alto,"Composición. EXTERIOR:68% algodón, 30% poliéster y 2% elastano",549,549
Bershka,Jeans wide leg straight tiro alto,Composición: 100% algodon,699,699
Bershka,Jeans boyfriend tiro bajo,Composición: 100% algodon,849,849
Bershka,Top halter efecto globo,Composición: 89% poliéster y11% elastano,549,549
Bershka,Jeans wide leg tiro alto cintura cruzada,Composición: 100% algodon,849,849
Bershka,Vestido mini boho,Composición: 100% poliéster,1099,1099
PullAndBear,Falda midi satinada,"Falda midi en tejido satinado, con cintura con cordón. Composición: 96% poliéster / 4% elastano",549,549
PullAndBear,Minifalda tablones,"Minifalda de tablones con cierre de zipper, confeccionada con tela ligeramente elástica. Composición: 65% poliéster, 31% viscosa y 4% elastano",549,549
PullAndBear,Falda midi cuadros,Falda midi de cuadros en tejido mesh con cintura elástica. Composición:95% poliéster y 5% elastano,699,699
PullAndBear,Playera gráfico sol,"Playera de manga larga azul marino con gráfico de soles, texto delantero, cuello redondo y tejido principal 100% algodón. BORDADOS: 100% poliéster",479,479
PullAndBear,Playera rayas manga corta,"Playera rosa a rayas y de manga corta con texto 'Creative Services', cuello redondo y en algodón.",399,399
PullAndBear,Playera futbol gráfico 23,"Playera estilo futbol con gráfico de número 23, de manga larga, con cuello en V y acabados de rib. Composición: 100% poliéster",599,599
PullAndBear,Playera Jennie Ruby,"Playera con gráfico de Jennie Ruby, figura central del K-pop, con cuello redondo y manga corta. Composición: 100% algodón",479,479
PullAndBear,Vestido corto de mezclilla nido de abeja,"Vestido corto en mezclilla con nido de abeja, con cuello redondo, manga sisa y detalle de volantes en el bajo. Composición: 100% algodón",849,849
PullAndBear,Vestido corto de mezclilla,"Vestido corto de mezclilla sin mangas, con cuello redondo, detalle de trabillas en la cadera y bajo deshilachado. Composición: 100% algodón",849,849
PullAndBear,Vestido midi rayas,"Vestido midi de punto con diseño de rayas, escote strapless y silueta ajustada. Composición: EXTERIOR: 60% poliéster, 31% algodón y 9% viscosa. FORRO: 94% algodón y 6% elastano",799,799
PullAndBear,Vestido midi espalda abierta,"Vestido midi de manga corta entera con cuello redondo, espalda abierta y confeccionado en tela elástica. Composición: EXTERIOR: 96% poliéster y 4% elastano. FORRO: 100% poliéster",699,699
PullAndBear,Vestido corto lentejuelas,"Vestido corto de lentejuelas en color negro, confeccionado en tejido elástico. Colección Pacific Republic. Composición: 95% poliéster y 5% elastano",849,849
PullAndBear,Vestido corto halter tachuelas,"Vestido corto con escote halter, espalda descubierta, detalle de tachuelas y dobladillo fluido. Composición: 96% poliéster y 4% elastano",549,549
PullAndBear,Top halter detalles metalizados,"Top con escote halter anudado al cuello, espalda descubierta, detalles drapeados y piezas metalizadas en la parte delantera. Composición: 68% modal, 27% poliéster y 5% elastano",549,549
PullAndBear,Top lencero de tirantes,"Top lencero de tirantes con detalles combinados en tejido de encaje, en color café chocolate. Composición: TEJIDO PRINCIPAL: 100% poliéster. ADORNOS: 100% poliamida",599,599
PullAndBear,Chaleco rústico con lino,"Chaleco rústico con cierre de lazada lateral, cuello solapa y escote en pico, confeccionado en mezcla de viscosa (69%) y lino (31%). Total look.",599,599
PullAndBear,Body manga corta poliamida,"Body de manga corta en tejido de poliamida, con cuello redondo y cierre inferior de snaps. Composición: 90% poliamida y 10% elastano",299,299
PullAndBear,Top halter rayas,"Top de rayas rústico con escote halter de tirantes delgados y espalda descubierta. Composición: EXTERIOR: 60% poliéster, 31% algodón y 9% viscosa. FORRO: 94% algodón y 6% elastano",399,399
PullAndBear,Jeans baggy cerezas,"Jeans baggy rectos mid waist con bordado de cerezas, cintura con trabillas, diseño de cinco bolsillos, y cierre de zipper y botón. Composición: 100% algodón",999,999
PullAndBear,Jeans baggy estoperoles,"Jeans baggy de mid waist con detalle de estoperoles, con diseño de cinco bolsillos, cintura con trabillas, cierre de botón y zipper y confeccionados en tejido de algodón 100%.",1099,1099
